name,type,confidence,n_entries,spelling_variants,index_letters,example_entry
Almaricus,uncertain,0.45,1,Almaricus,A,"Almaricus a Deacon, betrayeth Canterburie to the Danes. 246.7."
Alnewicke castle,place,0.95,1,Alnewicke castle,A,Alnewicke castle. 324.64.
Alnewike,place,0.97,1,Alnewike,A,"Alnewike besieged by the scots, but in vaine. 434.1."
Alnewike battaile,place,0.97,1,Alnewike battaile,A,"Alnewike battaile, fought by the Englishmen against the Scottes. 434.69."
Alnewike Castle,place,0.97,1,Alnewike Castle,A,Alnewike Castle beseiges. pag. 1315. col. 1. line. 23.
Allowãce,uncertain,0.45,1,Allowãce,A,"Allowãce for the king of Scots alwayes, at his comming vnto the Englishe court. 518.39."
Alpher,person,0.63,3,Alpher,A,"Alpher, Duke of Mercia, taketh part for the aduauncing of Egelredus to the crowne of England. 235.48."
Alphouse,person,0.97,1,Alphouse,A,Alphouse Duke of Calabre chosen knight of the garter. 1440.30.
Alrick,person,0.97,1,Alrick,A,"Alrick, sonne to Herbert, slayne. 201.74."
Alrike,person,0.46,2,Alrike,A,Alrike succeedeth his brother Ethelbert in the kingdome of Kent. 191.84.
Alsled,person,0.97,1,Alsled,A,"Alsled, daughter to Offa, married to K. Ethelhet. 201.43."
Alstane,person,0.91,1,Alstane,A,"Alstane, Bishop of Sh<?>reburue, a wariour. 203.55."
Alswaldes,person,0.96,1,Alswaldes,A,Alswaldes sonnes myserably slayne. 201.34.
Alswyn,person,0.81,1,Alswyn,A,"Alswyn, a Monke. 307.103."
Alswine,person,0.97,1,Alswine,A,"Alswine, brother to king Ecgfride slaine. 182.95."
Alswold,person,0.91,1,Alswold,A,"Alswold, king of Northumberland. 198.67."
Altred,uncertain,0.43,2,Altred,A,Altred succeeded Molle in the kingdome of Northumberland. 196.30.
Aluergne Earledome,uncertain,0.45,1,Aluergne Earledome,A,Aluergne Earledome inuaded and wasted by king Henrie the second. 410.41.
Alured,person,0.97,11,Alured,A,"Alured, sonne to king Ethelwolfus, sent to Rome. 207.26."
Aluredes,place,0.43,2,Aluredes,A,"Aluredes diligence, in deuiding the day and night vnto seuerall purposes. 218.43."
Aluredes kingdome,place,0.95,1,Aluredes kingdome,A,Aluredes kingdome bounded. 214.110.
Alureds,person,0.85,4,Alureds,A,"Alureds last wil, and the implosing of his goods to godlye purposes. 218.55."
Alwine,person,0.86,2,Alwine | Alwynne,A,"Alwynne, concubine to Kyng Cuate, daughter to Alselme. 262.81."
Ambassade,uncertain,0.45,1,Ambassade,A,Ambassade sent by king Iohn to ye king of Scots. 549.67.
