name,type,confidence,n_entries,spelling_variants,index_letters,example_entry
Popes Nuntio,person,0.97,1,Popes Nuntio,P,Popes Nuntio commeth into England. 1078.23. b
Porchester,place,0.96,1,Porchester,P,Porchester wonne by the Romans 51.33.
Porrer,person,0.87,1,Porrer,P,Porrer slain by his mother. 22 70.
Porrex,person,0.82,1,Porrex,P,"Porrex and Ferrex sonnes to Gorbodug, begin to rule ouer Britayne. 22.36."
Portemouth,person,0.81,1,Portemouth,P,Portemouth disquieteth the French fleete. 1046.10. b.
Portesmouth,place,0.96,2,Portesmouth,P,Portesmouth in Sussex whence so called. 130.11.
Porth,person,0.7,1,Porth,P,Porth entreth Britaine at Por+tesmouth hauen. 130.6
Porthland,place,0.88,1,Porthland,P,"Porthland in deuonshyre, spoyled by the Danes. 238.37."
Possesworth in Warwikshyre,uncertain,0.2,1,Possesworth in Warwikshyre,P,Possesworth in Warwikshyre. 225.6.
Poter,place,0.87,1,Poter,P,Poter dwelling in Red Crosse streete. pag. 1358. col. 1. lin. 47.
Poulesworth Abbey,place,0.87,1,Poulesworth Abbey,P,Poulesworth Abbey builded. 208.7.
Powel,person,0.86,1,Powel,P,Powel hanged for the supremacie. 1580.40.
Prasutagus,person,0.73,2,Prasutagus,P,"Prasutagus king of the Iceni, maketh the Emperour of Rome, and two of his owne daughters, his heires. 60.73"
Prebendes,place,0.84,2,Prebendes,P,"Prebendes in the new Monasterie of Winchester, taken from Vicars, and geuen to Monkes. 234.49."
Prelates,place,0.41,2,Prelates,P,Prelates in a great perplexitie. 740.69.
Prenne,uncertain,0.45,1,Prenne,P,"Prenne, looke Edbert, or Ethelbert King of Kent."
Preston in Auandernes,place,0.84,1,Preston in Auandernes,P,"Preston in Auandernes, brent by the Scottes. 870.8. b."
Price Iohn,person,0.97,1,Price Iohn,P,Price Iohn cited. 137.50.
Priestes of Normandie,person,0.97,1,Priestes of Normandie,P,Priestes of Normandie excommunicated by the Popes Legate. 352.1.
Prince of Portingale,person,0.64,1,Prince of Portingale,P,Prince of Portingale came into England. pag. 1226. col. 1. lin. 57.
Prince of Wales,uncertain,0.45,1,Prince of Wales,P,Prince of Wales discomfited. 622.60.
Princesse of Wales,uncertain,0.45,1,Princesse of Wales,P,Princesse of Wales procureth quietnesse. 1018.48. a.
Prior Iohn,person,0.95,1,Prior Iohn,P,"Prior Iohn eftsons landeth in Sussex, & is hurt in the eye. 1494.20."
Prior of Lawnd,person,0.74,1,Prior of Lawnd,P,Prior of Lawnd apprehended. pa. 1134. co. 1. lin. 33.
Prior of Tiptre,person,0.74,1,Prior of Tiptre,T,Prior of Tiptre thronged to death. 1090.30. a
Priorie of Saint Iames in Bristow,person,0.61,1,Priorie of Saint Iames in Bristow,P,Priorie of Saint Iames in Bristow builded. 351.55.
Priour Iohn,person,0.97,1,Priour Iohn,P,"Priour Iohn commeth into our Ocean with Galleyes, Foistes, and row Galleyes. 1476.25. is assayled in lanke Sable Baye. 1477.10. landeth in Sussex. 1478 10."
Priour of Beuall,person,0.78,1,Priour of Beuall,P,"The Priour of Beuall, executed. 1563.36."
Priours,person,0.86,1,Priours,P,"Priours and Abbots depriued by Archbishop Aselme, and why. 340.30."
Prise Iohn,person,0.97,1,Prise Iohn,P,Prise Iohn cited. 2.105. and. 4.8. and. 4.42. and. 27.58.
Priuetesfloud,uncertain,0.2,1,Priuetesfloud,P,Priuetesfloud. 194.15.
Priuiledge,uncertain,0.36,1,Priuiledge,P,Priuiledge graunted to Saynt Cutbertes Shrine. 219.57.
Priuiledges,uncertain,0.45,1,Priuiledges,P,"Priuiledges and Freedomes reuoked from Cities, Townes, Bishops Secs, and Abbeyes. 303.5. and. 304.46."
Progenie,uncertain,0.45,1,Progenie,P,"Progenie of the West Saxon kyngs, endeth in king Edward the Confessor. 280.48"
Prolocutor,uncertain,0.45,1,Prolocutor,P,"Prolocutor of the parlament, & his office. 354.46"
Prosumptious,uncertain,0.2,1,Prosumptious,P,Prosumptious Prelates. 874.10. a.
Protestantes,uncertain,0.2,1,Protestantes,P,Protestantes returne out of exile. 1798.27.
Ptolomei,person,0.85,1,Ptolomei,P,Ptolomei cited. 55.3.
Pudsey Henry,person,0.97,1,Pudsey Henry,P,"Pudsey Henry, sonne to the Byshop of Durham. 449.54."
Pudsey Hugh,person,0.97,1,Pudsey Hugh,P,"Pudsey Hugh Bishop of Durham, of an old Byshop made a young Earle. 478.74."
Puglia,place,0.9,1,Puglia,P,Puglia. 314.43.
Pulcher Church,place,0.95,1,Pulcher Church,P,Pulcher Church. 228.62.
Pulter Thomas,person,0.97,1,Pulter Thomas,P,Pulter Thomas of the County of Kent attaynted. 1425.51
Purueyers,uncertain,0.2,1,Purueyers,P,Purueyers punished. 929.12. a.
Putta,person,0.95,2,Putta,P,"Putta Byshop of Rochester, fleeth into Mercia, getting his liuing by teaching to sing 181.73."
Putting,uncertain,0.45,1,Putting,P,Putting to death on the Crosse forbidden. 92.12.
Quendred,person,0.95,3,Quendred,Q,Quendred conspyreth king Kenelme her brothers death. 205.43.
Queene Anne,person,0.97,1,Queene Anne,Q,Queene Anne crowned. pag. 1389. col. 1. lin. 1. dyeth sodaynly. pag. 1411. col. 1. lin. 28.
Queene Elizabeth,person,0.97,2,Queene Elizabeth,Q,Queene Elizabeth wyfe to Edward the fourth taketh sanctuarie. pag. 1362. col. 1. lin. 55. her answere to the Cardinal. pag. 1367. co. 2. li. 13. deliuered her son pag. 1369. col. 2. lin. 40. called sorceres pag. 1372. col. 1. lin. 54. deliuereth her fiue daughters to Richard the thyrd. pag. 1410. col. 1. lin. 57.
Queene Iane,person,0.97,1,Queene Iane,Q,"Queene Iane, wyfe to Henrie the fourth deceassed. pag. 1261. col. 2. lin. 44."
Queene Ioan,person,0.97,1,Queene Ioan,Q,"Queene Ioan wyfe to Henrie the fourth, imprisoned in Leeds Castle. pa. 1198, col. 1. lin. 49."
Queene Isabell,person,0.93,2,Queene Isabel | Queene Isabell,Q,Queene Isabel brought to Calays 1089.30. b. marryed there to king Richard the second. 1090.4. a. crowned at Westminster. 1090.38. a.
Queene Katharin,person,0.97,2,Queene Katharin,Q,Queene Katharin wyfe to Henry the fifth deceassed. pag. 1261. col. 1. lin. 51.
Queene Margaret,person,0.87,1,Queene Margaret,Q,Queene Margaret wyfe to Henrie the sixt. pag. 1270. col. 1. lin. 49. described. pag. 1272. col. 1.17. taketh vpon her the gouernment. pag. 1272. col. 2. lin. 47. fled. pag. 1300. col. 1. lin. 8. had the victorie at Saint Albons pag. 1306. col. 1. lin. 3. returned with her husband and sonne Northwarde. col. 2. lin. 14. shee with her sonne goeth into Fraunce pag. 1312. col. 2. lin. 38. arriued in Scotland. pa. 1313 col. 2. lin<?> 14. landed at Tynmouth. pag. 1313. col. 2. lin. 20. tooke Bamborough Castle. pa. 1314. col. 1. li. 6. landed at Weymouth. pag. 1332. col. 1. lin. 1. taken prisoner. pa. 1340. col. 1. li. 56. ransomed. col. 2. line. 55.
Queene Philips,person,0.93,1,Queene Philips,Q,Queene Philips diligence at Neuil Crosse. 939.24. b.
Quichelme,person,0.91,1,Quichelme,Q,"Quichelme, king of the West Saxons, sendeth a murtherer to slaye Kyng Edwyne. 159.51."
Quinburga Edwines,person,0.97,1,Quinburga Edwines,Q,Quinburga Edwines first wife 162.1.
Quinchelme,person,0.88,1,Quinchelme,Q,Quinchelme receyueth the Christian fayth and dyeth 169.23.
Quinci,person,0.93,2,Quinci,Q,Quinci Saer Earle of Winchester. dyeth. 618.18.
Quinci Robert,person,0.97,1,Quinci Robert,Q,"Quinci Robert, Earle of Lincolne. 456.4."
Quintine,person,0.84,1,Quintine,Q,Quintine a Butchar beheaded. pag. 1345. col. 1. lin. 25.
Quisquere Robert,person,0.97,1,Quisquere Robert,Q,Quisquere Robert. 367.45.
Qui<?>us Laberius Durus,person,0.9,1,Qui<?>us Laberius Durus,Q,Qui<?>us Laberius Durus a Tribune slayne. 41.65.
Rad,place,0.87,1,Rad,R,"Rad Pont besieged, and wonne 557.9."
Rafe,person,0.85,1,Rafe,R,Rafe Earle of Hereford. 271.32.
Rayer,uncertain,0.2,1,Rayer,R,"Rayer founder of Saint Bartholomewes by Smythfield, and first Priour therof. 341 54."
Raymond,person,0.97,5,Raymond,R,"Raymond Earle of Tholouse, maryeth with Ioan Queene of Sicil, sister to Richarde the first. 532.102"
Rayneth,place,0.27,3,Rayneth,R,"Rayneth not in Sussex, ye space of three yeeres. 182"
Raynulphe,person,0.97,1,Raynulphe,R,Raynulphe Earle of Chester & Lincolne dyeth. 640
Raleg William,person,0.97,1,Raleg William,R,Raleg William Bishop of Norwich. 705.77. he is remoued to Winchester by the Pope. 705.81. he is kept out of the Citie. eadem. 89. he accurseth the Citie and Cathedral Church. eadem. 90. he stealeth out of the realme into Fraunce. eadem. 100.
Ramsey abbey,place,0.97,2,Ramsey Abbey | Ramsey abbey,R,Ramsey Abbey buylded. 234 24.
Randal Edward,person,0.93,1,Randal Edward,R,"Randal Edward Serieant maior in ye iourney to S. Quintines. 1767.43. Serieant maior in the iourney of Lith. 1804.45. is knight marshal in the iourney to Newhauen 1838.14. his passing pitye shewed vnto the impotent souldiours at Newhauen. 1833. conducteth a thousand footmen into Ireland. 1836.44. discomfited in fight Shane Oneile, and is hymself slayne through ouer much prowesse. 1837.1"
Randol,person,0.63,1,Randol,R,"Randol a Fryer prisoner in the Towre of London. pa, 1198. co. 1. lin. 51."
Ranulfe,person,0.97,3,Ranulfe,R,"Ranulfe Bishop of Chichester, taketh part with Archbishop Anselme agaynst king William Rufus. 333.38."
Ranulfe Erle of Chester,person,0.97,1,Ranulfe Erle of Chester,R,Ranulfe Erle of Chester his oration to his souldiers. 374.29.
Ranulfe Hygden Policronicon,person,0.9,1,Ranulfe Hygden Policronicon,R,Ranulfe Hygden Policronicon cited. 18.80. and. 58.20. & 122.55.
Ranulfe of Chester,person,0.9,1,Ranulfe of Chester,R,Ranulfe of Chester cited. 333 88.
Ranulphe,person,0.97,3,Ranulphe,R,Ranulphe Earle of Chester returneth from the Holy lande. 617.60.
Rat Andrew,person,0.97,1,Rat Andrew,R,Rat Andrew. 1425.55
Ratcliffe,person,0.97,1,Ratcliffe,R,"Ratcliffe Viscount Fitzwater, created Earle of Sussex. 1553.11."
Ratcliffe Iohn,person,0.97,2,Ratcliffe Iohn,R,Ratcliffe Iohn knight. 1448.50.
Ratcliffe Richarde,person,0.97,1,Ratcliffe Richarde,R,Ratcliffe Richarde attaynted. 1425.43.
Ratcliffe Robert,person,0.97,2,Ratcliffe Robert,R,"Ratcliffe Robert Lord Fitzwater, created Viscount Fitzwater. 1536.18"
Ratclife Thom,person,0.97,1,Ratclife Thom,R,"Ratclife Thom. L. Fitzwaters vnhorsed at Muskleborough field. 1625.27. knight of ye garter, & Earle of Sussex, caried the Garter vnto Maximilian the Emperour. 1837 42. is Lieutenant general in the North, and leuied a power against the rebels. 1840 54. entreth Scotland with an army. 1842.10. ordeineth sir Wil. Drury General of a power sent into Scotlande. 1845.58. maketh an Oration vnto the souldiers. 1846.26 eftsoones inuadeth Scotland with a power. 1853.11"
Raucin Geffrey,person,0.95,3,Raucin Geffrey,R,Raucin Geffrey styrreth a rebellion in Guien. 521.54
Rauenspurre,uncertain,0.2,1,Rauenspurre,R,Rauenspurre. 1327. co. 1. li. 52
Rauesteine,person,0.93,1,Rauesteine,R,Rauesteine Lord Rauesteine reuolteth. 1435.54. Taketh the townes of Ipre and Scluse. ibidem. spoyleth al shyppes passyng to Antwerp. 1438.1. is forced to yeelde the towne & castle of Scluse. eadem. 15.
Raufe,person,0.89,19,Raufe,ELNR,Raufe Earle of Westmerland. pag. 1119. co. 2. lin. 28.
Raufe Ferrers,person,0.88,1,Raufe Ferrers,R,Raufe Ferrers knight. 1125 co. 1. lin. 6.
Raufe Iosseline,person,0.9,1,Raufe Iosseline,R,Raufe Iosseline Alderman of London. pag. 1343. co. 1. lin. 32.
Raufe Morthermer,person,0.91,1,Raufe Morthermer,M,Raufe Morthermer made Earle of Gloucester. 815.23. a. deliuered out of prison. 827.40. b.
Raufe Poole Iustice,person,0.7,1,Raufe Poole Iustice,R,Raufe Poole Iustice. pa. 1292 co. 2. lin. 28.
Raufe Verney,person,0.9,1,Raufe Verney,R,Raufe Verney Sheriffe of London. pag. 1292. col. 2. lin. 43.
Raufe Willoughby,person,0.91,1,Raufe Willoughby,R,Raufe Willoughby Esquyre slayne. pag. 1288. co. 1. lin. 16.
Raufes,person,0.63,1,Raufes,R,"Raufes wyfe besieged in the citie of Norwich, yeeldeth the same vpon conditions. 309.12."
Raulfe,uncertain,0.2,1,Raulfe,R,Raulfe constrayned to fle<?> into Britaine. 308.40
Reade Richard,person,0.97,1,Reade Richard,A,"Reade Richard Alderman of London, being commaunded to goe in the warres, is taken prisoner. 1601.21."
Reading Abbey,place,0.97,1,Reading Abbey,R,"Reading Abbey founded, and by whom. 363.47."
Reading Castle,place,0.93,1,Reading Castle,R,Reading Castle deliuered to Duke Henry Fitzempresse. 387.116.
Reason,person,0.84,1,Reason,R,"Reason nor law, permit the sonne to iudge or condemne the father. 405.93."
Redcrossestreete,uncertain,0.2,1,Redcrossestreete,R,Redcrossestreete. pag. 1358. co. 1. lin. 47.
Redfrid,person,0.83,1,Redfrid,R,Redfrid sent to conduct Archbishop Theodore into England. 178.43.
Reding battayle,place,0.9,1,Reding battayle,R,"Reding battayle, fought by the Danes agaynst the English men. 210.6."
Redvers Baldwin,person,0.97,1,Redvers Baldwin,R,"Redvers Baldwin, keepeth Exeter agaynst King Stephan. 367.44."
Redvers Baldwine,person,0.97,1,Redvers Baldwine,R,"Redvers Baldwine, expulsed out of Exeter, and exiled out of the Realme. 367.87."
Redwald,person,0.9,4,Redwald,R,"Redwald at one time, would serue both God and the diuel. 162.32."
Redwals,person,0.91,1,Redwals,R,"Redwals, king of Eastangles. 155.5."
Regent Maisters of Oxford,uncertain,0.45,1,Regent Maisters of Oxford,R,Regent Maisters of Oxford go barefoote to the Legate. 652 50.
Reginald,person,0.97,6,Reginald,R,Reginald Earle of Cornwal. 405.71.
Reginald Peacoke Byshoppe of Chichester,person,0.97,1,Reginald Peacoke Byshoppe of Chichester,R,Reginald Peacoke Byshoppe of Chichester abiured. pag. 1291. col. 2. lin. 1.
Register,place,0.84,1,Register,R,"Register of al Cities, Townes, Villages, and Hamlets, Abbeyes, Monasteries, and Priories, throughout Englande gathered. 312.80."
Reg<?>n,person,0.96,1,Reg<?>n,R,"Reg<?>n second daughter to Leir, maryed to Maglanus Duke of Albania. 19.96."
Reguli,place,0.7,1,Reguli,R,"Reguli, or litle kings in Brytayne, and why so called. 119 14."
Rehald,person,0.88,1,Rehald,R,"Rehald an Earle of the Danes, slayne. 221.28."
Reygnold,uncertain,0.2,1,Reygnold,R,Reygnold Bray. pag. 1400. col. 1. lin. 39. pag. 1398. col. 2. lin. 44. lin. 50. pag. 1399. co. 1. lin. 49. pa. 1413. co. 2. lin. 16.
Reinald,person,0.97,2,Reinald,CG,Reinald Earle of Geldre maryeth king Edward the thirdes sister. 895.13. b. made Duke of Geldre. 903.55. a. in daunger to be slaine by Flemmings. 911.50. a.
Reinerius,person,0.97,1,Reinerius,R,"Reinerius sonne to Redwald, slayne. 155.29."
Reynold,person,0.97,3,Reynold,R,"Reynold, and Aulafe, driuen out of their countreis. 227.104."
Reynolds,person,0.97,1,Reynolds,R,Reynolds a brother of Syon executed. 1563.38
Reiualle abbey,place,0.95,1,Reiualle abbey,R,Reiualle abbey foũded. 394.27
Release,person,0.83,1,Release,R,Release made by king Iohn to the king of Fraunce. 548.65.
Religious,uncertain,0.3,3,Religious,R,Religious men taxed. 571.17.
Remaine,person,0.96,1,Remaine,R,Remaine consecrated bishop of Herefoord. 347.12.
Remclid,person,0.85,2,Remclid,R,"Remclid or Remeline, ordeined Bishop of Hereford. 341.76"
Remfred,person,0.81,1,Remfred,R,Remfred a Monke. 307.103.
Remigius,person,0.9,3,Remigius,R,"Remigius Bishop of Dorchestex, depriued. 305.30."
Remigius Priour of Saint Albons,person,0.82,1,Remigius Priour of Saint Albons,R,Remigius Priour of Saint Albons. 480.69.
Remorintin Castle,place,0.9,1,Remorintin Castle,R,Remorintin Castle won by the blacke Prince. 956.40. b.
Rendlesham,uncertain,0.2,1,Rendlesham,R,Rendlesham. 174.<?>9.
Renues,place,0.75,1,Renues,R,Renues besieged by Henry Duke of Lancaster. 962.46. a.
Repentance,person,0.86,1,Repentance,R,"Repentance commeth too late, 225.112."
Rees ap Meredeth,person,0.97,1,Rees ap Meredeth,M,Rees ap Meredeth condemned and executed. 804.10. a.
Restitutus,person,0.95,1,Restitutus,R,"Restitutus, Bishop of London, goeth ouer to the Synode at <?>les. 94.55."
Reuel Richard of Derb<?>shyre,person,0.97,1,Reuel Richard of Derb<?>shyre,R,Reuel Richard of Derb<?>shyre a<?>ded. 1425.50
Reuenewes,uncertain,0.45,1,Reuenewes,R,Reuenewes of the Churche how they ought to be deuided. 149.8
Rial,place,0.84,1,Rial,R,Rial besieged by the Earle of Aniou. 874.24. b
Rice,person,0.94,1,Rice,R,"Rice Prince of Wales, wyth his vncle Owen, rebel against ye Englishmen. 402.9."
Rice ap Thomas,person,0.91,2,Rice ap Thomas,R,Rice ap Thomas. pa. 1413. co. 2. lin. 13. lin. 49. pag. 1414. col. 1. lin. 42. lin. 56. col. 2. lin. 50. pa. 1415. co. 2. li. 15.
Richall,uncertain,0.2,1,Richall,R,"Richall, where Tostie, and the Norweigians toke land. 284 60."
Richar castle,place,0.95,1,Richar castle,R,Richar castle belongyng to Hugh Mortimer. 771.13
Richard,person,0.97,58,Richard,AER,Richard the second borne. 971.26. b. created Prince of Wales. 997.40. b. beginneth his reigne. 1004.12. a. is crowned. 1005.30 a. marryeth Anne sister to the Emperour. 1038.10. a. rydeth post. 1045.30. a. goeth with an armie against the Scots. 1048.42. b. burneth Edenburgh. 1049.30 a. his answere to the Parliament. 1055.51. a. his affection towardes Delapole. 1057.10. a. at variance with the Nobilitie. 1060.10. a. his wordes to them. 1065.52. b. causeth the Nobilitie to be indicted. 1062 27. a. he keepeth the Towre agaynst them. 1069.33. a. his inconstancie. 1070 1. a. taketh an othe. 1073.16. b. he demaundeth a question of his Nobles. 1075.1. a. remoueth his Nobilitie and officers from him. 1075 40. a. agreed with his Nobilitie. 1075.32. b. offended with the Londoners. 1080.30. b. taketh their liberties from them. 1081.10. b. commeth through London. 1082.36. a. goeth into Ireland. 1085.16. b. returneth into England. 1086.1. b. marryeth the French kings daughter by a Deputie. 1088.3. b. meeteth the French k. 1089.1. his expences at that entervewe. 1090.1. a. beareth the armes of Saint Edward. 1097.55. b. his sentence agaynst the two Dukes at Couentrie. 1101.5. b. passeth into Ireland. 1103.50. a. returneth into England. 1107.47. a. stealeth from his souldiers. 1107.33. b. betaketh himselfe to his enemies. 1109.31. a. commeth to Flint. 1109.2. b. committed to the Towre. 1111.1. a. resigneth his <?>yght to ye crowne. 1113.42. b. the same confirmed by Parliament. 1114.25. b. publication of his deposing. 1115.5. a. his description. 1116.40. b.
Richard Bewchamp,person,0.97,1,Richard Bewchamp,R,Richard Bewchamp sonne to Lord Bewchamp of Powike pag. 1337. col. 1. lin. 54.
Richard Bingham Iustice,person,0.97,1,Richard Bingham Iustice,R,Richard Bingham Iustice. 1292. co. 2. lin. 27.
Richard Bourgh,person,0.97,1,Richard Bourgh,R,Richard Bourgh. pa. 1328. co. 2. lin. 4.
Richard Croftes,person,0.97,1,Richard Croftes,R,Richard Croftes Knight. pag. 1<?>39. col. 2. lin. 51.
Richard Edgecombe,person,0.97,1,Richard Edgecombe,R,Richard Edgecombe knight. pag. 1402. co. 2. lin. 25.
Richard Erle of Arundel,person,0.95,2,Richard Erle of Arundel,A,"Richard Erle of Arundel, Admiral, goeth to the sea. 1057 45. a. ouercommeth the Flenmishe fleete. 1057.30. b. wasteth the coastes of Flaunders. 1058.30. a."
Richard Erle of Chester,person,0.97,1,Richard Erle of Chester,R,Richard Erle of Chester drowned by Shipwracke. 357.108.
Richard Erle of Cornwal,person,0.97,1,Richard Erle of Cornwal,R,Richard Erle of Cornwal brothe to Henry the third elected Emperour. 743.60.
Richard Extons,person,0.97,1,Richard Extons,E,Richard Extons commendation. 1054.15. b.
Richard Griffith,person,0.97,1,Richard Griffith,R,Richard Griffith. 1414. co. 1. lin. 40.
Richard Guifford,person,0.97,1,Richard Guifford,R,Richard Guifford Esquire. pa. 1400. col. 1. lin. 49. col. 2. lin. 34. pag. 1401. col. 2. lin. 52.
Richard Herberte,person,0.97,1,Richard Herberte,R,Richard Herberte knight. pag. 1319. col. 2. lin. 48. valiant pa. 1320. co. 2. lin. 8. headed. lin. 35.
Richard Kilminton,person,0.97,1,Richard Kilminton,K,Richard Kilminton dieth. 968 35. a.
Richard Molineux,person,0.97,1,Richard Molineux,R,Richard Molineux knight. pa. 1295. co. 1. lin. 58.
Richard Neuile,person,0.97,1,Richard Neuile,R,Richard Neuile earle of Warwicke. 1311. co. 1. lin. 1
Richard Radcliffe,person,0.97,1,Richard Radcliffe,R,Richard Radcliffe knight. pag. 1390. co. 2. lin. 4. slaine. pag. 1422. col. 1. lin. 16.
Richard Ratcliffe,person,0.97,1,Richard Ratcliffe,R,Richard Ratcliffe knight. pag. 1376. col. 2. lin. 7.
Richard Tunstal,person,0.97,1,Richard Tunstal,R,Richard Tunstal. 1315. co. 1. lin. 8.
Richard Walgraue,person,0.97,1,Richard Walgraue,R,Richard Walgraue knight. pag. 1313. col. 2. lin. 2.
Richard William,person,0.97,1,Richard William,R,Richard William Doctor of diuinitie. 1443.40.
Richard Wooduile,person,0.88,1,Richard Wooduile,R,"Richard Wooduile, Lorde Riuers. 1298. co. 1. lin. 3. taken lin. 17. Earle Riuers, and high Constable of England. 1316. co. 2. lin. 26."
Richarde Scrope,person,0.97,1,Richarde Scrope,S,Richarde Scrope put fron the office of Chancellor. 1040.1. a
Riche Richard,person,0.97,1,Riche Richard,R,Riche Richard knight created Lord Riche. 1614.24.
Richelinus,person,0.95,1,Richelinus,R,"Richelinus sonne to Cinegiseus, king of Westsaxons. 155 58."
Richer de Aquila,uncertain,0.2,1,Richer de Aquila,R,Richer de Aquila. 390.78.
Riches William,person,0.97,1,Riches William,R,Riches William. 554.71
Richmond castle,place,0.83,1,Richmond castle,R,Richmond castle builded. 301.66.
Richmond house,place,0.89,1,Richmond house,R,Richmond house buylt. 1454.20.
Ricula,person,0.85,1,Ricula,R,"Ricula, sister to king Ethelbert, wyfe to Sl<?>dda. 152.34."
Ridel Geffrey,person,0.97,1,Ridel Geffrey,R,"Ridel Geffrey Archdeacon of Canterbury, made Bishop of Ely. 58."
Riddle Geffray,person,0.97,1,Riddle Geffray,R,"Riddle Geffray, the proude Byshop of Ely<?>, departeth this lyfe. 475.67."
Riddle Geffrey,person,0.97,1,Riddle Geffrey,R,Riddle Geffrey drowned. 357 111.
Ridley Nicholas,person,0.97,1,Ridley Nicholas,R,"Ridley Nicholas doctor bishop of London a meane for the foundation of the hospitals in London. 1713.3. is depriued of his Byshopricke, and conmitted to the towre, and why. 1721.20. disputeth openly at Oxford. 1735.16."
Rye,uncertain,0.45,1,Rye,R,Rye brent by Frenchmen. 1007.7. a.
Rieule,place,0.86,1,Rieule,R,Rieule a borough in Normandy burnt. 385.49
Rigmanus Philesius,person,0.85,1,Rigmanus Philesius,R,Rigmanus Philesius cited. 5.42.
Rigmere battayle,uncertain,0.2,1,Rigmere battayle,R,"Rigmere battayle, looke Wig<?>rere."
Rigsig,person,0.43,2,Rigsig,R,Rigsig departeth this life. 219.33.
Rimemede,person,0.81,1,Rimemede,R,"Rimemede, where King Iohn agreed with his Barons. 590.107."
Riolle,place,0.91,1,Riolle,R,Riolle besieged and wonne by the Earle of Derbie. 927.33. b.
Rion,place,0.84,1,Rion,R,Rion wonne by the Frenchmen. 812.7. b.
Rippeley George,person,0.97,1,Rippeley George,R,Rippeley George. 1462.3
Rippingdon in Mercia,uncertain,0.2,1,Rippingdon in Mercia,R,Rippingdon in Mercia. 212.16
Rippon Abbey,place,0.97,1,Rippon Abbey,R,Rippon Abbey burnt. 229.63
Rise,person,0.93,5,Rise,R,Rise Prince of Wales doeth homage to king Henry the seconde and his sonne. 401.114.
Rise ap Griffin,person,0.93,3,Rise ap Griffin,R,"Rise ap Griffin Prince of south Wales, sweareth fealtie to King Henry the second. 449.73."
Riseley Iohn,person,0.97,1,Riseley Iohn,R,Riseley Iohn knight sent Ambassadour vnto Maximilian Duke of Burgoine. 1439.18. hardly escapeth death at Boloigne. 1440.40.
Rithwal,person,0.8,1,Rithwal,R,Rithwal king of Wales. 297.26.
Riuall,person,0.87,1,Riuall,R,"Riuall and Blengente. Sonnes to Griffyn, made Gouernours of Wales. 277.76."
Riual abbey,place,0.95,1,Riual abbey,R,Riual abbey foũded. 333.96
Riuallon,person,0.97,2,Riuallon,R,"Riuallon sonne to Cunidagius, beginneth to raigne ouer Bri+taine. 21.48"
Ryuers Baldwin,person,0.93,1,Ryuers Baldwin,R,Ryuers Baldwin Earle of the Isle of Wight. 656.26
Riuers Richard,person,0.97,1,Riuers Richard,R,"Riuers Richard trauaileth with kyng Henry the first, to resigne his right to the inuesture of Bishops. 343.7"
Roan,place,0.93,1,Roan,R,Roan besieged by the Englishe. pag. 1194. co. 1. lin. 19. yeelded to the Englishe. pag. 1197. co. 1. lin. 57. yeelded to the French pag. 1275. co. 2. lin. 30.
Roan Castle,place,0.95,1,Roan Castle,R,Roan Castle fortified. 359.56.
Robert,person,0.97,67,Robert,RV,Robert Veer created D. of Ireland. 1054.20. a
Robert Bapthorpe,person,0.97,1,Robert Bapthorpe,R,"Robert Bapthorpe Esquire, slaine. pag. 1288. co. 1. li. 12."
Robert Basset,person,0.97,1,Robert Basset,R,Robert Basset Alderman of London. pag. 1342. co. 2. lin. 37.
Robert Byshoppe of Lincolne,person,0.97,1,Robert Byshoppe of Lincolne,R,"Robert Byshoppe of Lincolne, departeth this lyfe. 410.72."
Robert Brakenbery,person,0.94,1,Robert Brakenbery,R,"Robert Brakenbery Knyght, Constable of the Towre. pag. 1390. col. 1. lin. 20. pa. 1415. col. 2. lin. 36. pag. 1416. col. 1. lin. 28. slayne. pag. 1422. col. 1. lin. 17."
Robert Brus,person,0.97,2,Robert Brus,B,"Robert Brus, Earle of Carrik dyeth. 840.48. a."
Robert Burnel,person,0.97,1,Robert Burnel,B,Robert Burnel bishop of Bathe 791.58. a.
Robert Dartois,person,0.97,1,Robert Dartois,D,Robert Dartois made Earle of Richemont. 900.50. a. vanquisheth the Frenchmen at S. Omers. 910.57. b.
Robert de Namur,person,0.97,1,Robert de Namur,N,Robert de Namur serueth king Edward the third. 940.45 b.
Robert Hal,person,0.82,1,Robert Hal,H,Robert Hal murdered in Westminster church. 1010.12. b
Robert Hilliard,person,0.97,1,Robert Hilliard,R,Robert Hilliard. pag. 1321. co. 1. lin. 1.
Robert Holand,person,0.97,1,Robert Holand,H,Robert Holand slayne. 892.40. a.
Robert Huldorne,person,0.97,1,Robert Huldorne,R,Robert Huldorne beheaded. pag. 1319. col. 1. lin. 50.
Robert Kilwarby,person,0.97,1,Robert Kilwarby,K,Robert Kilwarby Archbishop of Canterbury made Cardinal. 788.40. b
Robert Knolles,person,0.97,2,Robert Knoles | Robert Knolles,KR,Robert Knoles knight. pag. 1152. co. 2. lin. 23.
Robert Shirborne,person,0.97,1,Robert Shirborne,S,"Robert Shirborne deane of Paules, afterwarde Bishoppe of Chichester, sent commissioner into Cornewall. 1450.54"
Robert Trisilian,person,0.97,1,Robert Trisilian,T,Robert Trisilian attainted. 1071.25. a. hanged. 1071.1. b
