paragraph_number,name,start_offset,end_offset,left_context,right_context,full_context
407,Haſtings,565,573,"Bruſe, &",", being","Bruſe, & Haſtings , being"
407,king Edward,673,684,this,",","this king Edward ,"
407,king Edward,812,823,remaine in,", ſealed","remaine in king Edward , ſealed"
408,Balioll,4,11,The,in this,The Balioll in this
408,king Edward,432,443,writing to,of England,writing to king Edward of England
408,king Edward,621,632,this,; he rebelled,this king Edward ; he rebelled
408,king Edward,732,743,Hereupon,,Hereupon king Edward
408,Edward,1314,1320,kyng,", and","kyng Edward , and"
408,king Edward,1690,1701,,kept,king Edward kept
409,Iohn,39,43,ſame,king,ſame Iohn king
409,king Edward,136,147,againſt,", and","againſt king Edward , and"
410,king Iohn,29,38,ſayd,of Scots,ſayd king Iohn of Scots
410,king Edward,123,134,ſaid,ſent,ſaid king Edward ſent
410,king Edward,215,226,which,benignly,which king Edward benignly
410,Iohn,598,602,ſaid,and all,ſaid Iohn and all
410,king Edward,1056,1067,,of englande,king Edward of englande
410,king Edward,1240,1251,ſaid,went,ſaid king Edward went
411,William,339,346,made,Warreine,made William Warreine
411,Hugh,430,434,"Scotland,",of Creſſingham,"Scotland, Hugh of Creſſingham"
411,William,483,490,and,Ormeſby,and William Ormeſby
411,king Iohn,540,549,ſent,to the,ſent king Iohn to the
411,Iohn,596,600,and,Comyn,and Iohn Comyn
412,Iohn,126,130,ſayd,king,ſayd Iohn king
412,king Iohn,396,405,but,& the,but king Iohn & the
412,king Edward,960,971,ſaid,and,ſaid king Edward and
412,king Iohn,1397,1406,ſayd,& his,ſayd king Iohn & his
412,Edward,1614,1620,,and diſturbe,Edward and diſturbe
413,William,283,290,and,Walleys,and William Walleys
414,Robert,94,100,choſe,Bruis,choſe Robert Bruis
414,Iohn,131,135,only,Cōmyn,only Iohn Cōmyn
414,Robert,267,273,Wherefore,Bruis,Wherefore Robert Bruis
414,Robert,397,403,,Bruis,Robert Bruis
414,Robert,559,565,diſcomfited,Bruis,diſcomfited Robert Bruis
415,Edward,0,6,,borne,Edward borne
415,Edward,40,46,this,", was","this Edward , was"
415,Robert Bruſe,353,365,thys,conſpired,thys Robert Bruſe conſpired
415,Edward,499,505,this,with,this Edward with
415,Thomas,511,517,with,earle,with Thomas earle
415,Bruſe,659,664,ſayde,,ſayde Bruſe
415,Bruſe,1032,1037,agaynſt,",","agaynſt Bruſe ,"
416,Edward,35,41,ſonne of,ye ſecond,ſonne of Edward ye ſecond
416,Iſabell,169,176,with,mother,with Iſabell mother
416,Roger,227,232,wyth,Mortymer,wyth Roger Mortymer
416,king Edward,422,433,thys,thirtie,thys king Edward thirtie
416,Dauid,1099,1104,vntill,the ſonne,vntill Dauid the ſonne
416,Robert,1136,1142,of,le Bruſe,of Robert le Bruſe
416,Bruſe,1146,1151,Robert le,then,Robert le Bruſe then
416,Dauid,1275,1280,ſayde,Bruſe,ſayde Dauid Bruſe
