paragraph_number,name,start_offset,end_offset,left_context,right_context,full_context
223,Thomas,291,297,traytour,Fitz,traytour Thomas Fitz
224,Thomas,32,38,vſed,", bring","vſed Thomas , bring"
225,William,77,84,"Archers,",Sentlo,"Archers, William Sentlo"
225,Edward,106,112,Manſwel,Griffeth,Manſwel Edward Griffeth
225,William,127,134,ſir,Sentlo,ſir William Sentlo
225,Edward,195,201,ſir,Griffeth,ſir Edward Griffeth
228,Walter,22,28,,Delahyde,Walter Delahyde
228,Euſtace,59,66,Gennet,apprehended,Gennet Euſtace apprehended
228,Walter,83,89,apprehended.Sir,Delahyde,apprehended.Sir Walter Delahyde
228,Euſtace,136,143,Gennet,", were","Gennet Euſtace , were"
230,Euſtace,65,72,Gennet,dieth,Gennet Euſtace dieth
230,Iohn,595,599,to ſir,White,to ſir Iohn White
231,William,47,54,deceaſed.Sir,Skeſfington,deceaſed.Sir William Skeſfington
231,Thomas,324,330,where,Fitz,where Thomas Fitz
232,William,82,89,Giralde ſir,Breerton,Giralde ſir William Breerton
232,Thomas,555,561,hoſtages to,hys campe,hoſtages to Thomas hys campe
233,Thomas,22,28,,Fitz,Thomas Fitz
234,Thomas,22,28,,ſayleth,Thomas ſayleth
234,Thomas,59,65,Herevpon,Fitz,Herevpon Thomas Fitz
234,Thomas,648,654,apprehend,Fitz,apprehend Thomas Fitz
234,Thomas,837,843,"Kylmaynan,",his vncles,"Kylmaynan, Thomas his vncles"
235,Walter,103,109,"Giralde,",Fitz,"Giralde, Walter Fitz"
235,Oliuer,123,129,"Girald,",Fitz,"Girald, Oliuer Fitz"
235,Iohn,143,147,"Girald,",Fitz,"Girald, Iohn Fitz"
235,Richard,163,170,"Girald, &",Fitz,"Girald, & Richard Fitz"
235,Walter,217,223,"Iames,",", and","Iames, Walter , and"
235,Thomas,280,286,Nephew,to their,Nephew Thomas to their
239,Thomas,626,632,,Fitz,Thomas Fitz
239,Thomas,696,702,For,Fitz,For Thomas Fitz
239,Thomas,969,975,from,to Charles,from Thomas to Charles
239,Charles,979,986,Thomas to,the fift,Thomas to Charles the fift
239,Charles,1073,1080,"Grauil,",Reynolde,"Grauil, Charles Reynolde"
239,Charles,1108,1115,called,Reinolde,called Charles Reinolde
239,Henrie,1425,1431,King,to pardon,King Henrie to pardon
241,Thomas,0,6,,Fitz,Thomas Fitz
242,Thomas,79,85,Counſaylour of,Fitz,Counſaylour of Thomas Fitz
244,Thomas,22,28,,Fitz,Thomas Fitz
244,Thomas,73,79,As for,Fitz,As for Thomas Fitz
244,Thomas,497,503,therefore,was attaynted,therefore Thomas was attaynted
244,Thomas,659,665,name of,Fitz,name of Thomas Fitz
245,Thomas,5,11,This,Fitz,This Thomas Fitz
245,Thomas,44,50,deſcription of,Fitz,deſcription of Thomas Fitz
246,Thomas,157,163,when,and his,when Thomas and his
246,Queene Marie,292,304,raigne of,reſtored,raigne of Queene Marie reſtored
246,Thomas,590,596,Giralde.,Lenrouſe,Giralde. Thomas Lenrouſe
246,Thomas,607,613,Lenrouſe.,Lenrouſe,Lenrouſe. Thomas Lenrouſe
246,Thomas,737,743,apprehenſion of,and his,apprehenſion of Thomas and his
